시설번호,시도명,시군구명,위도,경도,주소,출수압력
동부-대인-대인-530,광주광역시,동구,35.16392311,126.9159042261,광주광역시 동구 독립로 376,3.3
동부-대인-대인-531,광주광역시,동구,35.1635389668,126.9172484247,광주광역시 동구 독립로376번길 28,3.2
동부-대인-대인-532,광주광역시,동구,35.1638002224,126.9158696545,광주광역시 동구 독립로 374,3.3
동부-대인-대인-533,광주광역시,동구,35.16507511,126.9173789628,광주광역시 동구 서암대로 310,3.3
동부-대인-대인-534,광주광역시,동구,35.16287711,126.9262371,광주광역시 동구 필문대로 62,3.3
동부-대인-대인-535,광주광역시,동구,35.16205511,126.9287791,광주광역시 동구 필문대로 90,3.3
동부-대인-대인-558,광주광역시,동구,35.1578707932,126.9166258212,광주광역시 동구 경양로235번길 1,3.2
동부-대인-대인-560,광주광역시,동구,35.15852111,126.9169311,광주광역시 동구 경양로223번길 8-26,3.3
동부-대인-대인-574,광주광역시,동구,35.15555611,126.9191037331,광주광역시 동구 경양로 270,3.3
동부-대인-대인-579,광주광역시,동구,35.15840611,126.9238625032,광주광역시 동구 계림로 53,3.2
동부-대인-대인-584,광주광역시,동구,35.15963811,126.9273586567,광주광역시 동구 참판로6번길 10-1,3.2
동부-대인-대인-585,광주광역시,동구,35.1591101528,126.9196531,광주광역시 동구 중흥로 241,3.3
동부-대인-대인-609,광주광역시,동구,35.1534474927,126.9190679568,광주광역시 동구 동계천로 67,3.3
동부-대인-대인-614,광주광역시,동구,35.15743511,126.9132911,광주광역시 동구 경양로 234,3.3
동부-대인-대인-618,광주광역시,동구,35.1611564671,126.9280777765,광주광역시 동구 참판로20번길 1,3.2
동부-대인-대인-619,광주광역시,동구,35.16161511,126.9237381,광주광역시 동구 무등로375번길 11,3.0
동부-대인-대인-622,광주광역시,동구,35.16006311,126.9255711,광주광역시 동구 무등로 392-1,3.0
동부-대인-대인-623,광주광역시,동구,35.15662811,126.9200031,광주광역시 동구 경양로 277,3.0
동부-대인-대인-624,광주광역시,동구,35.1582853564,126.9265841,광주광역시 동구 산수길35번길 22,3.0
동부-대인-대인-625,광주광역시,동구,35.15575911,126.9197762259,광주광역시 동구 경양로271번길4,3.0
동부-대인-대인-1,광주광역시,동구,35.1539188676,126.9148072499,광주광역시 동구 제봉로 207,3.3
동부-대인-대인-2,광주광역시,동구,35.1550349938,126.9138750722,광주광역시 동구 제봉로222번길 2,3.0
동부-대인-대인-5,광주광역시,동구,35.15592311,126.9134917939,광주광역시 동구 동계천로6번길 8,3.2
동부-대인-대인-6,광주광역시,동구,35.1532518491,126.9140831,광주광역시 동구 구성로 195-1,3.2
동부-대인-대인-9,광주광역시,동구,35.1547084567,126.9136671,광주광역시 동구 제봉로 221,3.1
동부-대인-대인-10,광주광역시,동구,35.15394511,126.9126041,광주광역시 동구 독립로 264번길 15,3.1
동부-대인-대인-11,광주광역시,동구,35.1556975974,126.9147831,광주광역시 동구 동계천로 22,3.5
동부-대인-대인-12,광주광역시,동구,35.1513421158,126.9165736577,광주광역시 동구 중앙로 203,3.0
동부-대인-대인-14,광주광역시,동구,35.1526625941,126.9159002168,광주광역시 동구 구성로204번길 15-1,3.5
동부-대인-대인-15,광주광역시,동구,35.1526966949,126.9180478295,광주광역시 동구 중앙로 223,3.0
동부-대인-대인-16,광주광역시,동구,35.1521963901,126.9175757615,광주광역시 동구 제봉로 173,3.0
동부-대인-대인-18,광주광역시,동구,35.1535479963,126.9161545809,광주광역시 동구 제봉로 196,3.2
동부-대인-대인-286,광주광역시,동구,35.15353511,126.9169541,광주광역시 동구 제봉로190번길 1-2,3.2
동부-대인-대인-330,광주광역시,동구,35.1544942942,126.9148511,광주광역시 동구 제봉로 210,3.3
동부-대인-대인-475,광주광역시,동구,35.15421611,126.9179915928,광주광역시 동구 동계천로53번길 2,3.3
동부-대인-대인-550,광주광역시,동구,35.1541687018,126.9168504139,광주광역시 동구 제봉로194번길 9,3.2
동부-대인-대인-551,광주광역시,동구,35.1538447359,126.9172203781,광주광역시 동구 제봉로190번길 5,3.2
동부-대인-대인-571,광주광역시,동구,35.15204811,126.9154168461,광주광역시 동구 구성로194번길 15-2,3.5
동부-대인-대인-572,광주광역시,동구,35.15492611,126.9159840995,광주광역시 동구 구성로 221-1,3.5
동부-대인-대인-573,광주광역시,동구,35.15301211,126.9183417005,광주광역시 동구 제봉로178번길 10,3.2
동부-대인-대인-581,광주광역시,동구,35.1553175105,126.9122842635,광주광역시 동구 독립로 276,3.2
동부-대인-대인-586,광주광역시,동구,35.1546431128,126.9155831961,광주광역시 동구 구성로 217,3.2
동부-대인-대인-610,광주광역시,동구,35.1534200398,126.9183194997,광주광역시 동구 제봉로 178번길 11,3.2
동부-대인-저수조1,광주광역시,동구,35.1539188676,126.9148072499,광주광역시 동구 제봉로 207,3.2
동부-대인-저수조2,광주광역시,동구,35.15294911,126.9141021933,광주광역시 동구 구성로 194,3.2
동부-대인-저수조3,광주광역시,동구,35.1527108579,126.9167426984,광주광역시 동구 제봉로 185,3.2
동부-대인-저수조4,광주광역시,동구,35.15219711,126.9175757615,광주광역시 동구 제봉로 173,3.2
동부-대인-대인-8,광주광역시,동구,35.1459059333,126.9162047784,광주광역시 동구 서석로23,3.3
동부-대인-대인-18,광주광역시,동구,35.1476596038,126.9185580159,광주광역시 동구 금남로 250-2,
동부-대인-대인-21,광주광역시,동구,35.1493382698,126.9145461,광주광역시 동구 충장로 64,
동부-대인-대인-22,광주광역시,동구,35.150472869,126.9132861,광주광역시 동구 충장로 45-1,
동부-대인-대인-23,광주광역시,동구,35.152216536,126.910646438,광주광역시 동구 충장로 13-2,
동부-대인-대인-24,광주광역시,동구,35.1454951128,126.9143831,광주광역시 동구 천변우로405-16,
동부-대인-대인-135,광주광역시,동구,35.1486618891,126.9165296431,광주광역시 동구 금남로226-11,2.2
동부-대인-대인-152,광주광역시,동구,35.1483580939,126.9187300534,광주광역시 동구 금남로245,3.3
동부-대인-대인-153,광주광역시,동구,35.1486181927,126.9181438824,광주광역시 동구 금남로239,3.5
동부-대인-대인-154,광주광역시,동구,35.14874411,126.9184298198,광주광역시 동구 중앙로196번길32,2.2
동부-대인-대인-155,광주광역시,동구,35.14971611,126.9170065596,광주광역시 동구 중앙로196번길 14,2.4
동부-대인-대인-156,광주광역시,동구,35.1479098304,126.9183171,광주광역시 동구 금남로246,2.5
동부-대인-대인-157,광주광역시,동구,35.148727237,126.9169220142,광주광역시 동구 금남로230,2.5
동부-대인-대인-158,광주광역시,동구,35.1495632252,126.9167281,광주광역시 동구 금남로221,3.4
동부-대인-대인-159,광주광역시,동구,35.15012711,126.9159907231,광주광역시 동구 금남로211,3.8
동부-대인-대인-160,광주광역시,동구,35.1505004146,126.9161664867,광주광역시 동구 중앙로196,2.5
동부-대인-대인-161,광주광역시,동구,35.1493507823,126.9161134528,광주광역시 동구 금남로220,3.3
동부-대인-대인-162,광주광역시,동구,35.1491364134,126.9163376576,광주광역시 동구 금남로224,3.7
동부-대인-대인-164,광주광역시,동구,35.1500954507,126.9148985912,광주광역시 동구 중앙로185,2.1
동부-대인-대인-165,광주광역시,동구,35.1508709667,126.9139841567,광주광역시 동구 금남로194,3.3
동부-대인-대인-166,광주광역시,동구,35.1511223696,126.9143281,광주광역시 동구 금남로195,3.3
동부-대인-대인-167,광주광역시,동구,35.1499927762,126.9148850899,광주광역시 동구 중앙로183,3.3
동부-대인-대인-168,광주광역시,동구,35.1506028915,126.9151195276,광주광역시 동구 금남로203,3.3
동부-대인-대인-169,광주광역시,동구,35.1516053883,126.9127411,광주광역시 동구 금남로 180,3.3
동부-대인-대인-170,광주광역시,동구,35.1538469767,126.9106058043,광주광역시 동구 금남로147,3.3
동부-대인-대인-171,광주광역시,동구,35.1517691828,126.9137449524,광주광역시 동구 금남로185,3.3
동부-대인-대인-172,광주광역시,동구,35.1524316247,126.9115391051,광주광역시 동구 금남로166,3.3
동부-대인-대인-173,광주광역시,동구,35.1529021124,126.9116318814,광주광역시 동구 금남로163,3.1
동부-대인-대인-174,광주광역시,동구,35.1522095674,126.9128251,광주광역시 동구 금남로177,3.5
동부-대인-대인-175,광주광역시,동구,35.15188111,126.9123191731,광주광역시 동구 금남로176,3.6
동부-대인-대인-176,광주광역시,동구,35.1513794135,126.9138421594,광주광역시 동구 금남로189,3.2
동부-대인-대인-177,광주광역시,동구,35.1513358629,126.9140311,광주광역시 동구 금남로193-1,3.0
동부-대인-대인-178,광주광역시,동구,35.1532746188,126.9100671,광주광역시 동구 금남로148,3.3
동부-대인-대인-179,광주광역시,동구,35.1474235264,126.9169483599,광주광역시 동구 충장로 94,2.5
동부-대인-대인-182,광주광역시,동구,35.14937111,126.9145161,광주광역시 동구 충장로 64,3.3
동부-대인-대인-183,광주광역시,동구,35.149627228,126.9140911,광주광역시 동구 충장로58번길 2,2.2
동부-대인-대인-184,광주광역시,동구,35.150472869,126.9132721,광주광역시 동구 충장로 45-1,3.3
동부-대인-대인-185,광주광역시,동구,35.1487815488,126.9131369509,광주광역시 동구 중앙로 163,3.3
동부-대인-대인-186,광주광역시,동구,35.1492649424,126.913885871,광주광역시 동구 중앙로 171,3.3
동부-대인-대인-188,광주광역시,동구,35.1496664033,126.9145321,광주광역시 동구 중앙로 177,3.3
동부-대인-대인-189,광주광역시,동구,35.15127511,126.9121331582,광주광역시 동구 구성로 168,3.3
동부-대인-대인-191,광주광역시,동구,35.1529885596,126.9094131,광주광역시 동구 독립로 238,3.3
동부-대인-대인-192,광주광역시,동구,35.1523371948,126.9104791614,광주광역시 동구 충장로 13-1,2.0
동부-대인-대인-209,광주광역시,동구,35.1450326548,126.9142160291,광주광역시 동구 서석로1-1,3.3
동부-대인-대인-210,광주광역시,동구,35.1456319069,126.9189695781,광주광역시 동구 문화전당로35,2.3
동부-대인-대인-211,광주광역시,동구,35.1452015393,126.9137918267,광주광역시 동구 천변우로405-2,3.3
동부-대인-대인-212,광주광역시,동구,35.1455924183,126.9146244349,광주광역시 동구 서석로7번길6-2,2.1
동부-대인-대인-270,광주광역시,동구,35.1466472942,126.9179037709,광주광역시 동구 서석로 41,3.3
동부-대인-대인-334,광주광역시,동구,35.1460605008,126.9155241,광주광역시 동구 서석로7번길6-34,2.0
동부-대인-대인-352,광주광역시,동구,35.1490168892,126.9154234053,광주광역시 동구 충장로 71-1,2.3
동부-대인-대인-353,광주광역시,동구,35.1472613105,126.9180361,광주광역시 동구 충장로 101-3,2.2
동부-대인-대인-354,광주광역시,동구,35.1481260093,126.9167111,광주광역시 동구 충장로 87,2.4
동부-대인-대인-355,광주광역시,동구,35.1484034738,126.916275416,광주광역시 동구 충장로 81-1,2.0
동부-대인-대인-376,광주광역시,동구,35.15031511,126.9128193243,광주광역시 동구 충장로46번길 2,2.3
동부-대인-대인-377,광주광역시,동구,35.1526822592,126.9095791,광주광역시 동구 충장로 4,2.6
동부-대인-대인-378,광주광역시,동구,35.1512139583,126.9121331582,광주광역시 동구 구성로 168,2.4
동부-대인-대인-430,광주광역시,동구,35.14641411,126.9148892921,광주광역시 동구 서석로 7번길 12-29,2.0
동부-대인-대인-452,광주광역시,동구,35.14472838,126.915018963,광주광역시 동구 천변우로415,3.3
동부-대인-대인-515,광주광역시,동구,35.14519111,126.9153084498,광주광역시 동구 서석로12,3.3
동부-대인-대인-518,광주광역시,동구,35.1501898486,126.9119071986,광주광역시 동구 충장로46번길 16-22,2.3
동부-대인-대인-546,광주광역시,동구,35.1477614659,126.9165825797,광주광역시 동구 충장로 90,3.3
동부-대인-대인-548,광주광역시,동구,35.14469611,126.9164561,광주광역시 동구 문화전당로35번길27,3.3
동부-대인-대인-582,광주광역시,동구,35.1511629126,126.9108011,광주광역시 동구 충장로 22-7,3.3
동부-대인-동부-1,광주광역시,동구,35.1519482623,126.9179990843,광주광역시 동구 제봉로 171,3.3
동부-대인-동부-5,광주광역시,동구,35.1509288055,126.9186410183,광주광역시 동구 제봉로 167,3.1
동부-대인-동부-6,광주광역시,동구,35.14886856,126.9235198935,광주광역시 동구 장동로 11,3.1
동부-대인-동부-11,광주광역시,동구,35.1528603639,126.9296346053,광주광역시 동구 필문대로206번길 12-1,3.1
동부-대인-동부-12,광주광역시,동구,35.1553156446,126.9321192289,광주광역시 동구 필문대로 173,3.0
동부-대인-동부-13,광주광역시,동구,35.154153859,126.9243218395,광주광역시 동구 경양로321번길 2-1,3.0
동부-대인-동부-25,광주광역시,동구,35.14674759,126.9172314364,광주광역시 동구 충장로안길 42,3.1
동부-대인-동부-26,광주광역시,동구,35.1503805827,126.9108068061,광주광역시 동구 독립로226번길 31,3.3
동부-대인-동부-30,광주광역시,동구,35.1453906131,126.9172668,광주광역시 동구 문화전당로35번길 18-1,3.3
동부-대인-동부-31,광주광역시,동구,35.1466028218,126.9185191237,광주광역시 동구 서석로 46,3.3
동부-대인-동부-32,광주광역시,동구,35.1469155857,126.9199944815,광주광역시 동구 문화전당로 38,3.3
동부-대인-동부-52,광주광역시,동구,35.1475908389,126.9234096065,광주광역시 동구 제봉로110번길 10,3.3
동부-대인-동부-53,광주광역시,동구,35.14852905,126.9222360701,광주광역시 동구 제봉로 114,3.3
동부-대인-동부-54,광주광역시,동구,35.1491761533,126.9222779905,광주광역시 동구 제봉로 122,3.3
동부-대인-동부-55,광주광역시,동구,35.15210342,126.9183204225,광주광역시 동구 제봉로 170,3.3
동부-대인-동부-56,광주광역시,동구,35.1511891632,126.9192429,광주광역시 동구 제봉로 157,3.3
동부-대인-동부-57,광주광역시,동구,35.1519624128,126.9178646307,광주광역시 동구 중앙로 218-1,3.3
동부-대인-동부-58,광주광역시,동구,35.150530093,126.9184463991,광주광역시 동구 예술길15번길 4,3.3
동부-대인-동부-59,광주광역시,동구,35.15034485,126.9229146756,광주광역시 동구 동계천로 118-1,3.3
동부-대인-동부-60,광주광역시,동구,35.154505247,126.9277803915,광주광역시 동구 산수길 7,3.3
동부-대인-동부-61,광주광역시,동구,35.1548038734,126.9315160274,광주광역시 동구 무등로 474,3.3
동부-대인-동부-66,광주광역시,동구,35.15700531,126.9311575559,광주광역시 동구 무등로449번길 8-21,3.3
동부-대인-동부-68,광주광역시,동구,35.1595822533,126.9305675662,광주광역시 동구 필문대로 124,3.3
동부-대인-동부-74,광주광역시,동구,35.1589288565,126.9277897624,광주광역시 동구 무등로415번길 2,3.3
동부-대인-동부-75,광주광역시,동구,35.1552457153,126.9315074258,광주광역시 동구 필문대로 174,3.3
동부-대인-동부-76,광주광역시,동구,35.15597153,126.9319332005,광주광역시 동구 필문대로 165,3.3
동부-대인-동부-77,광주광역시,동구,35.1582098234,126.9314827709,광주광역시 동구 필문대로 141-1,3.3
동부-대인-동부-79,광주광역시,동구,35.1555397184,126.9224701,광주광역시 동구 계림로20번길 2,3.0
동부-대인-동부-80,광주광역시,동구,35.1543556425,126.9241104,광주광역시 동구 경양로321번길 6,3.3
동부-대인-동부-82,광주광역시,동구,35.15431595,126.9227220661,광주광역시 동구 경양로 306,3.0
동부-대인-동부-83,광주광역시,동구,35.15371704,126.9240036,광주광역시 동구 동계로15번길 8,3.0
동부-대인-동부-84,광주광역시,동구,35.15386581,126.924345205,광주광역시 동구 경양로 322,3.3
동부-대인-동부-94,광주광역시,동구,35.1549059551,126.9298477,광주광역시 동구 경양로371번길 10,3.0
동부-대인-동부-95,광주광역시,동구,35.15667725,126.9268892936,광주광역시 동구 산수길25번길 6-12,3.0
동부-대인-동부-101,광주광역시,동구,35.14572906,126.9188849433,광주광역시 동구 문화전당로 35-1,3.0
