시설번호,시도명,시군구명,위도,경도,주소,상세위치,출수압력
동부-대인-대인-48,광주광역시,동구,35.1613128795,126.9229883322,광주광역시 동구 무등로359번길 6-19,두산위브 112동 앞 사거리,3.0
동부-대인-대인-49,광주광역시,동구,35.1550142428,126.9189131,광주광역시 동구 구성로238번길 17-7,골든장 앞,3.0
동부-대인-대인-50,광주광역시,동구,35.15829111,126.9136311,광주광역시 동구 경양로 234,그랜드센트럴 114동 및 중앙성결교회 앞,3.2
동부-대인-대인-51,광주광역시,동구,35.15620111,126.9186151,광주광역시 동구 경양로 261,대성우드 앞,3.2
동부-대인-대인-292,광주광역시,동구,35.1562871258,126.9210999518,광주광역시 동구 중앙로 272-8,두산위브 105동 샛길,3.0
동부-대인-대인-301,광주광역시,동구,35.1605839377,126.9228011,광주광역시 동구 무등로 366,오물락조물락 미술교습소 앞,3.2
동부-대인-대인-302,광주광역시,동구,35.1580604911,126.9263351,광주광역시 동구 산수길35번길 19-4,호남시장부근 금성유통 앞,3.2
동부-대인-대인-303,광주광역시,동구,35.15719411,126.9225511,광주광역시 동구 중앙로 290번길 16,두산위브 3차 정문 앞,3.0
동부-대인-대인-314,광주광역시,동구,35.15987511,126.9185731,광주광역시 동구 중흥로227번길 6-4,하나슈퍼 앞,3.2
동부-대인-대인-317,광주광역시,동구,35.15634711,126.9229971,광주광역시 동구 계림로 28-2,두산위브3차 309동 입구,3.3
동부-대인-대인-336,광주광역시,동구,35.15852911,126.9173546911,광주광역시 동구 경양로223번길 14-26,첨단세탁소 앞,3.2
동부-대인-대인-337,광주광역시,동구,35.16139311,126.9194831,광주광역시 동구 중흥로227번길 22,대지여관 앞 인도,3.3
동부-대인-대인-379,광주광역시,동구,35.16108211,126.9178281,광주광역시 동구 중흥로213번길 14-1,동원세탁소앞,3.2
동부-대인-대인-380,광주광역시,동구,35.1626631694,126.9182558186,광주광역시 동구 무등로307번길 10-18,규진 컴퓨터 세탁소 앞,3.0
동부-대인-대인-381,광주광역시,동구,35.1580995296,126.9192449936,광주광역시 동구 경양로247번길 22,혜성교회 앞,3.3
동부-대인-대인-382,광주광역시,동구,35.1603794907,126.9175561,광주광역시 동구 중흥로213번길 6-5,금호세탁소 앞,3.2
동부-대인-대인-383,광주광역시,동구,35.1606158398,126.9188721,광주광역시 동구 중흥로213번길 16-24,특미정 옆,3.0
동부-대인-대인-384,광주광역시,동구,35.1585010144,126.9184881,광주광역시 동구 경양로235번길 16-13,태광베스트빌 앞,3.3
동부-대인-대인-385,광주광역시,동구,35.15748911,126.9178891,광주광역시 동구 경양로243번길 8-2,금강빌라 앞,3.2
동부-대인-대인-386,광주광역시,동구,35.16068711,126.9165770003,광주광역시 동구 중흥로209번길 5,문예정터 앞,3.0
동부-대인-대인-455,광주광역시,동구,35.1572774912,126.9191122358,광주광역시 동구 구성로 260-1,로데오빌딩건너편 푸른마트 앞,3.0
동부-대인-대인-469,광주광역시,동구,35.1590791934,126.9181349408,광주광역시 동구 경양로235번길 20-3,광명부동산맞은 편,3.2
동부-대인-대인-489,광주광역시,동구,35.15563611,126.9199996221,광주광역시 동구 경양로277번길 7,청룡 모텔맞은편,3.0
동부-대인-대인-498,광주광역시,동구,35.1563055312,126.9208506865,광주광역시 동구 중앙로 276,광명주차장 앞,3.3
동부-대인-대인-509,광주광역시,동구,35.1595346931,126.9155704598,광주광역시 동구 경양로217번길 11,킴스헤어 앞,3.2
동부-대인-대인-510,광주광역시,동구,35.16428911,126.9160454531,광주광역시 동구 독립로 380,철도건널목 보광스텐 앞,3.3
동부-대인-대인-511,광주광역시,동구,35.1609845054,126.9147031,광주광역시 동구 독립로 342,명품도어 앞 인도,3.3
동부-대인-대인-514,광주광역시,동구,35.16021711,126.9265091,광주광역시 동구 참판로 11-4,나라광고 앞,3.2
동부-대인-대인-528,광주광역시,동구,35.15902111,126.9144851,광주광역시 동구 경양로 234,그랜드센트럴 101동 앞,3.3
동부-대인-대인-529,광주광역시,동구,35.16217711,126.9162086641,광주광역시 동구 무등로 304,구| 광주은행 경양지점 앞,3.2
동부-대인-대인-530,광주광역시,동구,35.16392311,126.9159042261,광주광역시 동구 독립로 376,쌍마산업 앞,3.3
동부-대인-대인-531,광주광역시,동구,35.1635389668,126.9172484247,광주광역시 동구 독립로376번길 28,천지반점앞,3.2
동부-대인-대인-532,광주광역시,동구,35.1638002224,126.9158696545,광주광역시 동구 독립로 374,시청사거리,3.3
동부-대인-대인-533,광주광역시,동구,35.16507511,126.9173789628,광주광역시 동구 서암대로 310,이화아트타일 앞,3.3
동부-대인-대인-534,광주광역시,동구,35.16287711,126.9262371,광주광역시 동구 필문대로 62,광주교대 맞은편 타이어가계 앞,3.3
동부-대인-대인-535,광주광역시,동구,35.16205511,126.9287791,광주광역시 동구 필문대로 90,플러스원 공인중개사사무소 앞,3.3
동부-대인-대인-558,광주광역시,동구,35.1578707932,126.9166258212,광주광역시 동구 경양로235번길 1,전라도밥상 앞,3.2
동부-대인-대인-560,광주광역시,동구,35.15852111,126.9169311,광주광역시 동구 경양로223번길 8-26,대웅타워 앞,3.3
동부-대인-대인-574,광주광역시,동구,35.15555611,126.9191037331,광주광역시 동구 경양로 270,인생이 즐겁다 앞,3.3
동부-대인-대인-579,광주광역시,동구,35.15840611,126.9238625032,광주광역시 동구 계림로 53,대명APT 입구 계림신협 지하입구 옆,3.2
동부-대인-대인-584,광주광역시,동구,35.15963811,126.9273586567,광주광역시 동구 참판로6번길 10-1,동성교회 입구,3.2
